__run_id,__done,sampling,code,Time,TOTAL_DRAM_ENERGY (J),TOTAL_PACKAGE_ENERGY (J),TOTAL_PP0_ENERGY (J),TOTAL_PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,AVG_USED_MEMORY,AVG_USED_SWAP,TOTAL_ENERGY (J)
run_3_repetition_16,DONE,200,63,16.01,0,2120642.73,3561234.064,0,67221331968.0,8589930496.0,2181526952.585,0.0,765.556
run_4_repetition_16,DONE,200,90,9.207,0,1286666.3,2110318.804,0,67221331968.0,8589930496.0,2185572778.667,0.0,436.274
run_5_repetition_16,DONE,200,53,92.646,0,13770125.492,21443827.3,0,67221331968.0,8589930496.0,2181136586.598,0.0,4508.089
run_6_repetition_16,DONE,200,66,0.403,0,128875.067,192361.362,0,67221331968.0,8589930496.0,2188412928.0,0.0,9.024
run_7_repetition_16,DONE,200,52,33.226,0,5589609.654,8183246.462,0,67221331968.0,8589930496.0,2191389720.381,0.0,1422.324
run_8_repetition_16,DONE,200,16,0.203,0,102979.295,147993.807,0,67221331968.0,8589930496.0,2181763072.0,0.0,0.01
run_0_repetition_17,DONE,200,4,16.21,0,2908743.408,4123015.891,0,67221331968.0,8589930496.0,2185997595.759,0.0,776.827
run_1_repetition_17,DONE,200,61,13.408,0,2490913.829,3471352.829,0,67221331968.0,8589930496.0,2196691389.217,0.0,642.428
run_2_repetition_17,DONE,200,79,95.849,0,18699075.069,25206164.434,0,67221331968.0,8589930496.0,2199283324.541,0.0,4136.412
run_3_repetition_17,DONE,200,63,15.409,0,3290555.546,4305368.865,0,67221331968.0,8589930496.0,2197508821.873,0.0,737.435
run_4_repetition_17,DONE,200,90,9.006,0,2000991.05,2585691.0,0,67221331968.0,8589930496.0,2195396825.872,0.0,425.915
run_5_repetition_17,DONE,200,53,91.646,0,20864665.555,26288396.701,0,67221331968.0,8589930496.0,2188074687.443,0.0,4466.043
run_6_repetition_17,DONE,200,66,0.403,0,191750.504,236403.149,0,67221331968.0,8589930496.0,2176837632.0,0.0,8.654
run_7_repetition_17,DONE,200,52,28.416,0,7050713.363,8597990.984,0,67221331968.0,8589930496.0,2194201031.111,0.0,1375.471
run_8_repetition_17,DONE,200,16,0.202,0,149978.808,180956.913,0,67221331968.0,8589930496.0,2180715861.333,0.0,0.009
run_0_repetition_18,DONE,200,4,14.609,0,3800827.626,4547278.497,0,67221331968.0,8589930496.0,2193952003.413,0.0,701.59
run_1_repetition_18,DONE,200,61,13.609,0,3618571.519,4286163.659,0,67221331968.0,8589930496.0,2189058106.514,0.0,652.714
run_2_repetition_18,DONE,200,79,78.838,0,21493944.124,25022179.455,0,67221331968.0,8589930496.0,2183527682.586,0.0,3828.49
run_3_repetition_18,DONE,200,63,15.408,0,4494973.766,5148857.626,0,67221331968.0,8589930496.0,2184924250.734,0.0,735.755
run_4_repetition_18,DONE,200,90,10.406,0,3124470.45,3549143.312,0,67221331968.0,8589930496.0,2183363621.926,0.0,493.745
run_5_repetition_18,TODO,200,53, , , , , , , , , , 
run_6_repetition_18,TODO,200,66, , , , , , , , , , 
run_7_repetition_18,TODO,200,52, , , , , , , , , , 
run_8_repetition_18,TODO,200,16, , , , , , , , , , 
run_0_repetition_19,TODO,200,4, , , , , , , , , , 
run_1_repetition_19,TODO,200,61, , , , , , , , , , 
run_2_repetition_19,TODO,200,79, , , , , , , , , , 
run_3_repetition_19,TODO,200,63, , , , , , , , , , 
run_4_repetition_19,TODO,200,90, , , , , , , , , , 
run_5_repetition_19,TODO,200,53, , , , , , , , , , 
run_6_repetition_19,TODO,200,66, , , , , , , , , , 
run_7_repetition_19,TODO,200,52, , , , , , , , , , 
run_8_repetition_19,TODO,200,16, , , , , , , , , , 
run_0_repetition_20,TODO,200,4, , , , , , , , , , 
run_1_repetition_20,TODO,200,61, , , , , , , , , , 
run_2_repetition_20,TODO,200,79, , , , , , , , , , 
run_3_repetition_20,TODO,200,63, , , , , , , , , , 
run_4_repetition_20,TODO,200,90, , , , , , , , , , 
run_5_repetition_20,TODO,200,53, , , , , , , , , , 
run_6_repetition_20,TODO,200,66, , , , , , , , , , 
run_7_repetition_20,TODO,200,52, , , , , , , , , , 
run_8_repetition_20,TODO,200,16, , , , , , , , , , 
